Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
DCGO,DocGo Inc,Healthcare,Medical Care Facilities,USA,283380000.0,13.8,2.79,-0.0176,393292.0
HAFC,Hanmi Financial Corp.,Financial,Banks - Regional,USA,500070000.0,6.85,16.45,0.016399999999999998,72793.0
MTW,"Manitowoc Co., Inc.",Industrials,Farm & Heavy Construction Machinery,USA,361800000.0,13.45,10.18,0.0109,96804.0
OPBK,OP Bancorp,Financial,Banks - Regional,USA,145710000.0,6.93,9.74,0.0199,8984.0
STCN,Steel Connect Inc,Industrials,Integrated Freight & Logistics,USA,766020000.0,4.0,12.57,-0.029300000000000003,3504.0
TCBX,Third Coast Bancshares Inc,Financial,Banks - Regional,USA,296480000.0,11.94,21.72,0.0333,8086.0
